module_id,module_size,local_mean_rate_hz,local_pop_count_mean,local_pop_count_std,local_avalanche_tau,local_avalanche_xmin,local_avalanche_n_tail,local_n_avalanches,local_avalanche_size_mean,local_avalanche_size_max,local_avalanche_threshold,local_branching_proxy,local_timescale,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
2,64,5.215625,3.338,1.8994093818869064,1.6731708622287158,16.4,18,23,72.56521739130434,201.0,0.0,0.7712657712657712,0.20585378900953707,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
3,64,7.3,4.672,2.1317635891439743,2.8161457947920554,6.0,104,104,11.663461538461538,29.0,5.0,0.8530906332954115,-0.09923263726100662,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
4,64,5.3,3.392,1.7816666354848765,2.0947219318308976,45.20000000000001,12,15,113.06666666666666,437.0,0.0,0.7915242652084757,0.1106186465696839,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
5,64,5.7562500000000005,3.684,1.8793999042247502,1.8511317013063238,34.0,10,12,153.5,583.0,0.0,0.8610296704585435,0.05087617443209605,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
6,64,4.81875,3.084,1.6361369135863906,1.675909416424635,13.8,13,17,90.70588235294117,592.0,0.0,0.7996691480562448,0.09627147015694038,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
7,64,4.93125,3.156,1.6442822142199314,1.725152316860389,15.0,18,21,75.14285714285714,260.0,0.0,0.7787610619469026,-0.03222356509263981,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
8,64,4.784375,3.062,1.675158499963511,2.0161943724500535,31.6,14,18,85.05555555555556,284.0,0.0,0.7989157220305569,-0.07345868285031504,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
9,64,4.2125,2.696,1.5986194043611506,2.4068618132500497,21.0,26,32,42.125,126.0,0.0,0.7622249388753056,-0.007695880200226449,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
10,64,4.81875,3.084,1.6263283801249977,1.8090106304942046,22.8,16,20,77.1,182.0,0.0,0.7742469380999669,0.05734644759143466,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
11,64,6.046875,3.87,1.920702996301094,,,9,9,215.0,762.0,0.0,0.8245595186935969,-0.02114174109352955,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,0,12347,add_frac_0.3000_nadd_600,5
